host_name,src_mac,dest_port,type,network_transport,bytes_in,data_exfil,fn,ext,src_ip-1,src_ip-2,src_ip-3,src_ip-4
webserver,02:42:0a:00:00:13,53,DNS,UDP,0.0,1,ejedwQgOB5enbDC8YIP*kA3O*ocAcACzJYLCLDcIy1yTQ/d3D1b6ot8fw.ObnhDUn9yoPyJ9SYwLzFWWCNlC9oOp2bibT2fg28nYGw8vBpVe/t1qVd6.cwraTB5BA7V2lIh09uv0ST29n44fHqxmr366Mn0pAGTzXM0bwiylqPQrR.W1ibBJqXbSXBBOUZuMJrz*HuS5yoIf*t2rLler*cGn0vZWHDCwKEWBx7H,py,172,17,0,2
webserver,02:42:0a:00:00:13,53,DNS,UDP,0.0,1,H4sICA0DVWMAA2JlYWNvbi5weQCVVm1P4zgQ/l6p/2GufCDRgWkBVXBSP.3Bsd7c6FhDtcSedUOQmU2pt4kS2A1Sr/e83jp00fTnQBan4ZWY8L888ts.iKXBkwS4U8EfK52xFuRefxdzTNtCxF0kzmXOPwvJnGalWsJXPdDI3IENY.Wy3mh8hi1Bq5BF*uNZYpv3U63cwBfUKISMTzytEQNi1zBdS4lxkbkstv5,py,172,17,0,2
webserver,02:42:0a:00:00:13,53,DNS,UDP,0.0,1,H4sICA0DVWMAA2JlYWNvbi5weQCVVm1P4zgQ/l6p/2GufCDRgWkBVXBSP.3Bsd7c6FhDtcSedUOQmU2pt4kS2A1Sr/e83jp00fTnQBan4ZWY8L888ts.iKXBkwS4U8EfK52xFuRefxdzTNtCxF0kzmXOPwvJnGalWsJXPdDI3IENY.Wy3mh8hi1Bq5BF*uNZYpv3U63cwBfUKISMTzytEQNi1zBdS4lxkbkstv5,py,172,17,0,2
webserver,02:42:0a:00:00:13,53,DNS,UDP,0.0,1,H4sICA0DVWMAA2JlYWNvbi5weQCVVm1P4zgQ/l6p/2GufCDRgWkBVXBSP.3Bsd7c6FhDtcSedUOQmU2pt4kS2A1Sr/e83jp00fTnQBan4ZWY8L888ts.iKXBkwS4U8EfK52xFuRefxdzTNtCxF0kzmXOPwvJnGalWsJXPdDI3IENY.Wy3mh8hi1Bq5BF*uNZYpv3U63cwBfUKISMTzytEQNi1zBdS4lxkbkstv5,py,172,17,0,2
webserver,02:42:0a:00:00:13,53,DNS,UDP,0.0,1,H4sICA0DVWMAA2JlYWNvbi5weQCVVm1P4zgQ/l6p/2GufCDRgWkBVXBSP.3Bsd7c6FhDtcSedUOQmU2pt4kS2A1Sr/e83jp00fTnQBan4ZWY8L888ts.iKXBkwS4U8EfK52xFuRefxdzTNtCxF0kzmXOPwvJnGalWsJXPdDI3IENY.Wy3mh8hi1Bq5BF*uNZYpv3U63cwBfUKISMTzytEQNi1zBdS4lxkbkstv5,py,172,17,0,2
webserver,02:42:0a:00:00:13,53,DNS,UDP,0.0,1,H4sICA0DVWMAA2JlYWNvbi5weQCVVm1P4zgQ/l6p/2GufCDRgWkBVXBSP.3Bsd7c6FhDtcSedUOQmU2pt4kS2A1Sr/e83jp00fTnQBan4ZWY8L888ts.iKXBkwS4U8EfK52xFuRefxdzTNtCxF0kzmXOPwvJnGalWsJXPdDI3IENY.Wy3mh8hi1Bq5BF*uNZYpv3U63cwBfUKISMTzytEQNi1zBdS4lxkbkstv5,py,172,17,0,2
webserver,02:42:0a:00:00:13,53,DNS,UDP,0.0,1,H4sICA0DVWMAA2JlYWNvbi5weQCVVm1P4zgQ/l6p/2GufCDRgWkBVXBSP.3Bsd7c6FhDtcSedUOQmU2pt4kS2A1Sr/e83jp00fTnQBan4ZWY8L888ts.iKXBkwS4U8EfK52xFuRefxdzTNtCxF0kzmXOPwvJnGalWsJXPdDI3IENY.Wy3mh8hi1Bq5BF*uNZYpv3U63cwBfUKISMTzytEQNi1zBdS4lxkbkstv5,py,172,17,0,2
webserver,02:42:0a:00:00:13,53,DNS,UDP,0.0,1,H4sICCsAVWMAA0xpdmUAAwAAAAAAAAAAAA==,Live,172,17,0,2
webserver,02:42:0a:00:00:13,53,DNS,UDP,0.0,1,H4sICCsAVWMAA0xpdmUAAwAAAAAAAAAAAA==,Live,172,17,0,2
webserver,02:42:0a:00:00:13,53,DNS,UDP,0.0,1,H4sICCsAVWMAA0xpdmUAAwAAAAAAAAAAAA==,Live,172,17,0,2
